R	53.3629	-6.22753	E817	08 Mar 2025	E817\n14:30 - Greystones to Malahide (1 mins late)\nDeparted Clontarf Road next stop Killester	Northbound
R	53.3704	-6.50598	A908	08 Mar 2025	A908\n15:05 - Dublin Connolly to Sligo (0 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.373	-6.20442	E226	08 Mar 2025	E226\n15:19 - Howth to Bray (0 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.3755	-6.33135	P757	08 Mar 2025	P757\n15:08 - Maynooth to Dublin Connolly (2 mins late)\nDeparted Ashtown next stop Pelletstown	Southbound
R	53.3777	-6.34591	D919	08 Mar 2025	D919\n15:17 - Dublin Connolly to Maynooth (3 mins late)\nDeparted Navan Road Parkway next stop Castleknock	Northbound
R	53.387	-6.16163	P718	08 Mar 2025	P718\n14:48 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Kilbarrack next stop Dublin Connolly	Southbound
R	53.392	-6.11448	E916	08 Mar 2025	E916\n14:27 - Bray to Howth (1 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4032	-6.14839	D816	08 Mar 2025	D816\n15:18 - Dublin Connolly to Drogheda (0 mins late)\nDeparted Clongriffin next stop Portmarnock	Northbound
R	53.4157	-6.83395	A909	08 Mar 2025	A909\n13:05 - Sligo to Dublin Connolly (9 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4169	-6.1512	E227	08 Mar 2025	E227\n15:33 - Malahide to Bray (0 mins late)\nArrived Portmarnock next stop Clongriffin	Southbound
R	53.4855	-6.15134	P719	08 Mar 2025	P719\n15:05 - Drogheda to Dublin Connolly (1 mins late)\nArrived Donabate next stop Malahide	Southbound
R	53.712	-6.33538	A117	08 Mar 2025	A117\n14:00 - Belfast to Dublin Connolly (0 mins late)\nArrived Drogheda next stop Dublin Connolly	Southbound
R	53.712	-6.33538	A118	08 Mar 2025	A118\n14:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9676	-8.30438	A906	08 Mar 2025	A906\n13:05 - Dublin Connolly to Sligo (2 mins late)\nArrived Boyle next stop Ballymote	Northbound
R	54.0007	-6.41291	A116	08 Mar 2025	A116\n13:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0887	-8.52088	A911	08 Mar 2025	A911\n15:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.2043	-6.10046	E223	08 Mar 2025	E223\n14:19 - Howth to Bray(-1 mins late)\nTERMINATED Bray at 15:32	Southbound
